#{"t_start": 1626768021.9418232, "env_id": "jtr-modelless-v1"}
r,l,t
-142.516878,18,0.192107
-253.347081,12,0.275875
-217.894961,16,0.385685
-192.198831,13,0.474097
-271.393788,8,0.533561
-87.343565,21,0.675474
168.653263,43,0.96641
-285.945909,12,1.048177
-284.704441,9,1.110602
366.816721,56,1.492061
52.737473,33,1.715343
-99.416419,20,1.851722
-215.503916,13,1.941118
-179.923694,14,2.036322
-265.850029,11,2.111243
-42.413201,24,2.274797
-250.666077,11,2.350647
-76.908085,23,2.506943
-223.495859,14,2.602154
-226.049721,14,2.698294
-274.460984,8,2.754424
-83.852733,25,2.923609
-257.072596,9,2.98535
-125.830762,19,3.115783
-240.471869,11,3.192233
-266.645029,10,3.260506
-79.915192,25,3.429818
-276.544188,9,3.491266
-160.312368,19,3.622187
-187.497137,15,3.725289
-142.998129,19,3.854225
-219.153745,12,3.935948
-275.996785,11,4.012165
-250.237035,11,4.092487
-214.212248,14,4.187721
-260.144526,9,4.249207
-279.032298,10,4.318307
-251.228849,12,4.399951
-277.809261,8,4.45507
-229.423766,13,4.543487
-189.578709,16,4.652895
-276.271432,9,4.71434
-101.997787,20,4.850673
-53.574374,24,5.016596
-79.023076,25,5.187464
-262.778686,9,5.248924
-280.707964,10,5.317132
-196.444615,13,5.405929
-275.309139,13,5.49566
-243.836971,10,5.563874
-156.493426,17,5.679862
-275.672276,9,5.741316
-257.599669,10,5.810578
-270.442185,9,5.872044
-221.754585,14,5.967201
-54.000543,24,6.129853
-110.110093,25,6.300636
92.428032,40,6.579828
-79.776349,21,6.724851
46.430754,32,6.941216
-161.374203,17,7.057237
-263.240508,10,7.129128
-75.275711,23,7.293688
-217.827127,14,7.390041
-10.65152,27,7.574427
-254.208387,10,7.642676
17.030122,35,7.87954
-271.890291,8,7.934303
-261.846457,10,8.00391
-232.711712,12,8.085674
-118.375665,19,8.214782
-315.874456,18,8.336901
-95.815455,22,8.487197
-250.266526,10,8.555428
-57.448924,25,8.725246
48.404674,36,8.96945
-150.154776,18,9.092412
-197.264215,15,9.19434
-214.402056,15,9.296576
-46.174928,26,9.472859
-199.352009,16,9.582363
-259.116227,10,9.650543
-282.410511,9,9.712393
-203.900489,14,9.807564
-87.360203,19,9.937371
-253.226498,11,10.012898
-281.393361,9,10.074321
-281.110586,9,10.135853
-265.26212,12,10.2191
-284.275209,9,10.280621
-69.557179,29,10.477264
-314.702679,12,10.558993
