#{"t_start": 1626279733.2108138, "env_id": "jtr-v1"}
r,l,t
319.535115,24,43.474521
663.776404,48,101.252816
349.168615,27,131.943328
368.083297,28,163.748888
246.272355,20,186.490018
627.93723,46,241.792131
665.689201,51,299.72731
665.748779,51,359.968437
578.814842,43,409.946694
690.143893,46,459.850633
379.29322,29,491.706167
747.563772,51,550.437661
650.458187,49,607.225438
293.646099,23,632.298059
586.317713,42,678.024625
345.461935,26,709.662571
368.414703,26,737.953406
307.940709,24,764.192127
685.236989,51,823.348509
254.820952,22,847.535352
578.970549,44,900.102838
278.276966,23,925.649486
620.257587,42,972.280543
238.111049,20,997.754408
284.648015,24,1024.551919
616.48541,45,1074.672776
613.882486,42,1124.336318
273.100072,22,1148.878525
324.770027,25,1176.394861
268.325398,21,1202.832702
715.296447,53,1261.278563
679.639914,48,1317.132471
619.881566,45,1365.915142
243.645947,21,1388.437503
315.158411,26,1419.881059
604.923448,45,1468.721244
248.412008,20,1493.775185
255.034559,21,1516.299166
809.239489,61,1582.421649
678.146382,50,1639.769036
245.817345,21,1662.235547
290.161255,23,1690.421561
475.903003,35,1728.562442
270.1132,22,1752.23749
345.565213,27,1784.615681
271.421544,22,1808.696534
238.51116,20,1830.476764
905.0,57,1895.779347
792.97377,57,1957.8938
779.855653,52,2017.618942
-5.289893,49,2070.885968
609.186015,46,2125.394439
796.160015,58,2191.981197
382.722988,29,2223.993734
265.608769,22,2247.827621
295.998715,23,2276.586879
761.729515,57,2341.56497
678.489125,40,2390.510797
229.614129,19,2412.356658
384.07721,29,2444.93997
625.872045,41,2494.622031
474.659824,31,2529.753031
357.88535,28,2561.544601
269.811804,22,2589.641705
429.707495,33,2627.298202
660.509276,49,2687.139919
822.292502,62,2756.680944
739.47948,54,2820.118716
259.345993,21,2843.299218
805.356052,56,2908.612731
802.88918,82,3002.210752
362.207289,29,3034.070983
293.695099,23,3059.424701
614.732204,39,3105.595867
565.528964,38,3147.414736
234.749445,20,3169.956723
532.276397,36,3212.91665
908.333333,55,3273.70682
659.52303,49,3331.770197
618.825949,46,3386.696044
299.506293,24,3413.364277
426.74194,30,3446.403834
305.383588,25,3474.208799
328.89559,27,3507.493621
353.326681,27,3537.277692
317.268142,24,3564.109004
408.183922,31,3601.376124
354.406287,28,3632.35215
276.295092,23,3657.706553
258.476453,21,3684.026341
321.427626,25,3711.501754
645.397339,50,3766.636439
248.359882,23,3795.383609
552.121561,42,3842.30294
334.580894,26,3871.065155
553.652141,41,3919.86357
590.805691,41,3965.60438
266.838816,22,3993.305857
289.008644,23,4018.533608
244.597448,21,4041.518047
699.38899,51,4101.571826
911.666667,53,4160.04368
616.289733,44,4212.359488
753.407384,52,4269.122397
257.842863,21,4295.608394
670.985183,49,4349.515552
221.752477,19,4370.236696
260.649539,21,4396.549182
629.367419,41,4441.367914
277.207151,21,4464.217663
504.679072,38,4509.469006
797.264356,58,4576.432464
200.305026,18,4596.715855
342.944583,25,4624.542766
250.703192,20,4646.555789
287.187957,22,4673.976326
313.96539,26,4702.58939
367.098853,29,4734.537028
267.264464,22,4758.469694
353.81602,27,4790.935033
377.652145,28,4821.876279
614.108184,47,4875.909039
675.155573,36,4914.52993
506.100092,37,4954.437874
906.666667,56,5017.468325
735.144289,50,5074.042545
796.584169,60,5139.074922
385.675704,30,5174.833768
311.068628,24,5200.800758
509.445616,34,5236.968993
513.57271,40,5283.06294
